IPC maingroup,Label
A43D-011,신발 갑피/월형심 처리 기계
A43D-111,신발 리프트 콘베이어 포함 제화기계
A43D-113,모카신 제조 기계
A43D-115,신발창 봉목 제거 기계
A43D-117,구두부품 삽입용 톱니막대판
A43D-119,구두기계용 운전/제어 기계
A43D-013,구두 갑피 뒤집기 기계
A43D-015,와이어 이용 발가락끝 고착 방식 뒤집기 기계
A43D-017,구두지지구 포함 뒤집기 기계
A43D-019,손 기반 잡아매기 기계
A43D-021,잡아매기 기계
A43D-023,뒤집기 기계용 부품
A43D-025,신발부품 접착장치
A43D-027,신발 트리밍 기계
A43D-029,대상물질 기반 밑창 제조기계
A43D-003,신발형
A43D-031,정강이 보강물 제조/장입 기계
A43D-033,뒤축가죽 조립용 기계
A43D-035,밑창 고착 창 형성용 프레스
A43D-037,구두부품 러프닝 기계
A43D-039,발지지구 패드 제조 기계
A43D-043,바느질 홈 생성 기계/중창 고착 전처리 기계
A43D-044,밑창 세혁 부착 기계
A43D-047,갑피 고착 세혁 밀착 기계
A43D-049,신발 제조용 파운딩 기계
A43D-005,구두 제조용 도구 
A43D-051,바느질 구멍 커버기계
A43D-053,헤밍 봉부 트리밍 기계
A43D-055,헤밍 봉부 프레스 기계
A43D-057,세혁 끝부분 부착 기계
A43D-059,스티치 구두 러빙 기계
A43D-061,못 추출/커트/검출 기계
A43D-063,기타 끝마무리 작업용 기계
A43D-067,나사 이용 밑창 고정 기계
A43D-069,신발용 못박기기계
A43D-071,못박기 기계 구성
A43D-075,뒤집기 기계용 못박기기계
A43D-079,뒤축프레스/못박기 조합기계
A43D-008,구두부품소재 작업기계
A43D-081,화장혁 부착기
A43D-083,못박기 부재 뒤축 프레스
A43D-085,신발용 뒤집기 기계
A43D-086,갑피 밑창/뒷축 조립 기계
A43D-087,뒤축 깎기 기계
A43D-089,롤 포함 창 평탄기
A43D-009,신발형 갑피 잡아매기 기구
A43D-091,세혁 톱니모양 자국용 기계
A43D-093,가장자리 톱니모양 자국용 기계
A43D-095,구두 끝마무리 기계
A43D-097,신발 풀링조각 제조기계
A43D-098,구두끈 제조기계
A43D-999,기타 신발 제조/수선 기계
A44B-001,단추
A44B-011,버클/혁대/연결고정구
A44B-013,훅/고리 고정구
A44B-015,열쇠고리
A44B-017,누름단추/스냅 조임구
A44B-018,터치잠금형 조임구
A44B-019,슬라이드 조임구
A44B-021,고착구 /고정구
A44B-003,칼라단추
A44B-005,커프스 버튼 
A44B-006,넥타이 지지물
A44B-007,커프스 단추용 카드
A44B-009,모자핀/스카프핀/안전핀
A44B-099,기타 단추/핀/버클
A44C-001,개인 장식용 브로치
A44C-011,시계용/장식용 줄
A44C-013,결합방식 보석세공방법
A44C-015,타형상 보석세공
A44C-017,보석/유사물
A44C-019,시계 도난방지 장치
A44C-021,주화
A44C-023,염주
A44C-025,기타 장식품
A44C-027,장신구 제조방법
A44C-003,메달/뱃지
A44C-005,팔찌/손목시계밴드
A44C-007,귀걸이
A44C-009,반지
A45B-001,운반수단 포함 보행용 지팡이
A45B-011,형상/부속품 특징 우산
A45B-013,종이우산
A45B-015,탈부착 커버 포함 우산
A45B-017,양산
A45B-019,폴딩우산
A45B-021,보행용 지팡이 변환형 우산
A45B-023,기타 우산
A45B-025,우산 부품
A45B-027,여성용 부채
A45B-003,타물품 포함 지팡이
A45B-005,사냥용 스틱
A45B-007,기타 지팡이/우산자루
A45B-009,보행용 지팡이/우산 부품
A45C-001,지갑/돈주머니/남성폴딩지갑
A45C-011,기타목적 용기
A45C-013,수화물 부속품
A45C-015,타물품 결합 지갑/가방
A45C-003,유연성 수화물/손가방
A45C-005,강성 수화물/가방
A45C-007,절첩식 수화물
A45C-009,타용도 변환형 수화물
A45D-001,고데기
A45D-019,두피워싱 용구
A45D-002,헤어컬용 기구
A45D-020,헤어건조장치
A45D-024,헤어용 빗
A45D-026,헤어 단부 버닝 장치
A45D-027,면도용구
A45D-029,매니큐어/페디큐어 기구
A45D-031,인조 손톱
A45D-033,분말 화장품용 용기/부속품
A45D-034,액체 화장품용 용기/부속품
A45D-037,액체 화장품용 방향패드
A45D-004,헤어 컬/웨이브기구 가열장치
A45D-040,고체화장품 케이스
A45D-042,기타 화장품/개인관리용품
A45D-044,기타 미용실용품
A45D-006,헤어 컬/웨이브장치용 부속품
A45D-007,헤어 웨이브/컬 방법
A45D-008,머리 묶기용 기구
A45D-097,기타 미용용구
A45F-003,여행/야영 용품/등산용 색/팩
A45F-004,타용품변환형 여행/야영 용품
A45F-005,휴대용물품 운반구/홀더
A46B-001,일체성형 브러시 대/털
A46B-011,물공급 저장기 포함 브러시
A46B-013,구동 브러시
A46B-015,부속장치 포함 브러시
A46B-017,브러시 부속품
A46B-003,브러시 대 털 고정방법
A46B-005,브러시/브러시 자루
A46B-007,브러시 털지지체
A46B-009,브러시대 털 배열방법
A46D-001,브러시 털
A46D-003,브러시 대 제작방법/제작용구
A46D-005,브러시털 지지용 깃대 제작장치
A46D-007,브러시 비 제작용 프레스장치
A46D-009,브러시 끝마무리 기계
A46D-099,기타 브러시 제조방법/제작용구
A47B-001,길이조절 테이블
A47B-011,회전 천판 포함 테이블
A47B-013,테이블 구성
A47B-017,필기테이블
A47B-019,독서책상/연설대
