IPC subclass,Label
B29K,"서브클라스 B29B, C 또는 B29D에 관련되는 성형재, 보강재, 충진재 또는 미리 성형된 부품, 예 삽입물에 관한 인덱싱 계열"
B29L,서브클래스 B29C에 관련되는 특정물품에 관한 인덱싱 계열
B30B,프레스 일반；그 밖에 분류되지 않는 프레스
B31B,"종이, 판지 또는 종이와 유사한 방식으로 처리되는 물질을 이용한 용기의 제조"
B31C,"종이, 판지 또는 종이와 유사한 방식으로 가공되는 재료로부터 권취 제품의 제"
B31D,"서브클래스 B31B 또는 B31C에서 제공하지 않는 종이, 판지 또는 종이와 같은 방식으로 가공되는 재료의 제품을 제조"
B31F,"종이, 판지 또는 종이와 같은 방식으로 가공되는 재료의 기계적 가공 또는 변형"
B32B,"적층체, 즉 평평하거나 평평하지 않은 형상"
B33Y,첨삭가공
B41B,활자의 제조
B41C,인쇄 판면의 제작 또는 복제 방법
B41D,연판 인쇄를 하기 위한 인쇄 판면의 기계적 복제 장치; 인쇄 판면을 작성하기 위한 탄성 재료 또는 가소성 재료의 성형
B41F,인쇄기 또는 프레스
B41G,"금분 인쇄, 괘선 인쇄 또는 가장자리 부분에 테를 두르기 위한 장치; 인쇄와 관련하여 구멍 뚫기 위한 부속 장치"
B41J,특수문자를 위한 것
B41K,압인; 압인 장치 또는 번호 인자 장치
B41L,"사무 또는 다른 상업용의 복사 장치, 전사 장치 또는 인쇄 장치; 수신자 인쇄기 또는 그것과 유사한 인쇄기"
B41M,"인쇄, 복제, 마킹 또는 복사 방법; 컬러 인쇄"
B41N,인쇄판 또는 포일(Foil)
B42B,"용지, 첩 또는 절첩을 서로 영구적으로 합철하는 일 또는 그러한 물건을 영구적으로 합철하는 일"
B42C,제본
B42D,책 인쇄 기술
B42F,일반적으로 함께 부착된 시트; 철하는 용구; 화일 카드
B43K,필기용 또는 제도용 기구
B43L,필기용구 또는 제도 용구; 필기 또는 제도의 부속구
B43M,달리 분류되지 않는 책상 부속구
B44B,"미술 작업을 위한 공구, 장치, 기계, 예.조형, 무늬 장식, 조각, 소인 또는 인레이(Inlaying)"
B44C,장식 효과의 창작
B44D,달리 분류되지 않은 도장 또는 그림; 그림의 보존; 특수한 미술적 표면 효과 또는 표면 끝마무리를 위한 표면 처리
B44F,특수 디자인 또는 그림
B60B,차륜; 캐스터(castor
B60C,차량용 타이어; 타이어의 팽창; 타이어의 교환; 팽창가능한 탄성체에 밸브의 부착 일반; 타이어에 관한 장치 또는 부품
B60D,차량 연결기 기술
B60F,레일 차량 서스펜션
B60G,차체현가장치
B60H,"특히 차량의 객실 또는 화물실의 난방, 냉방, 환기 또는 다른 공기처리수단에 관한 장치"
B60J,"차량의 창, 방풍 유리, 비고정식의 지붕, 문 또는 동류의 장치； 차량에 특별히 적합하게 분리가능한 외부 보호 커버"
B60K,차량의 추진 기관 또는 변속기
B60L,전기 추진차량의 추진
B60M,전기적 추진차량을 위한 전력공급선 또는 레일에 따른 장치
B60N,차량에 특히 적합한 좌석; 달리 분류되지 않는 승객설비
B60P,"하물이송에 적합한 차량 또는 특수하물 또는 특수목적물을 이송, 운반 또는 반입하는 데 적합한 차량"
B60Q,"차량의 일반적인 신호 또는 조명장치의 배치, 그것의 또는 그것을 위한 회로의 장착 또는 지지"
B60R,"달리 분류되지 않는 차량, 차량 부속구 또는 차량부품"
B60S,"달리 분류되지 않는 차량의 손질, 세척, 수리, 지지, 들어 올림 또는 이동"
B60T,차량용 제동제어방식 또는 그 부품； 제동 제어 방식 또는 그 부품 일반
B60V,공기쿠션차량
B60W,"다른 종류 또는 다른 기능의 차량용 부품의 관련 제어； 하이브리드 차량에 특별히 적합한 제어 시스템； 특정의 단일의 부품의 제어에 관한 것은 아닌, 특정의 목적을 위한 도로상의 차량의 운전 제어 시스템"
